C:\Users\MuteTunic\Desktop\IMG\center_2019_04_21_20_00_34_737.jpg,C:\Users\MuteTunic\Desktop\IMG\left_2019_04_21_20_00_34_737.jpg,C:\Users\MuteTunic\Desktop\IMG\right_2019_04_21_20_00_34_737.jpg,0,0,0,6.193808E-06
C:\Users\MuteTunic\Desktop\IMG\center_2019_04_21_20_00_34_818.jpg,C:\Users\MuteTunic\Desktop\IMG\left_2019_04_21_20_00_34_818.jpg,C:\Users\MuteTunic\Desktop\IMG\right_2019_04_21_20_00_34_818.jpg,0,0,0,1.620246E-05
C:\Users\MuteTunic\Desktop\IMG\center_2019_04_21_20_00_34_923.jpg,C:\Users\MuteTunic\Desktop\IMG\left_2019_04_21_20_00_34_923.jpg,C:\Users\MuteTunic\Desktop\IMG\right_2019_04_21_20_00_34_923.jpg,0,0,0,1.051093E-05
C:\Users\MuteTunic\Desktop\IMG\center_2019_04_21_20_00_35_019.jpg,C:\Users\MuteTunic\Desktop\IMG\left_2019_04_21_20_00_35_019.jpg,C:\Users\MuteTunic\Desktop\IMG\right_2019_04_21_20_00_35_019.jpg,0,0,0,1.57903E-06
C:\Users\MuteTunic\Desktop\IMG\center_2019_04_21_20_00_35_115.jpg,C:\Users\MuteTunic\Desktop\IMG\left_2019_04_21_20_00_35_115.jpg,C:\Users\MuteTunic\Desktop\IMG\right_2019_04_21_20_00_35_115.jpg,0,0,0,1.859648E-05
C:\Users\MuteTunic\Desktop\IMG\center_2019_04_21_20_00_35_211.jpg,C:\Users\MuteTunic\Desktop\IMG\left_2019_04_21_20_00_35_211.jpg,C:\Users\MuteTunic\Desktop\IMG\right_2019_04_21_20_00_35_211.jpg,0,0,0,6.889449E-06
C:\Users\MuteTunic\Desktop\IMG\center_2019_04_21_20_00_35_310.jpg,C:\Users\MuteTunic\Desktop\IMG\left_2019_04_21_20_00_35_310.jpg,C:\Users\MuteTunic\Desktop\IMG\right_2019_04_21_20_00_35_310.jpg,0,0,0,1.151831E-05
C:\Users\MuteTunic\Desktop\IMG\center_2019_04_21_20_00_35_412.jpg,C:\Users\MuteTunic\Desktop\IMG\left_2019_04_21_20_00_35_412.jpg,C:\Users\MuteTunic\Desktop\IMG\right_2019_04_21_20_00_35_412.jpg,0,0,0,1.749944E-05
C:\Users\MuteTunic\Desktop\IMG\center_2019_04_21_20_00_35_506.jpg,C:\Users\MuteTunic\Desktop\IMG\left_2019_04_21_20_00_35_506.jpg,C:\Users\MuteTunic\Desktop\IMG\right_2019_04_21_20_00_35_506.jpg,0,0,0,1.813107E-05
C:\Users\MuteTunic\Desktop\IMG\center_2019_04_21_20_00_35_602.jpg,C:\Users\MuteTunic\Desktop\IMG\left_2019_04_21_20_00_35_602.jpg,C:\Users\MuteTunic\Desktop\IMG\right_2019_04_21_20_00_35_602.jpg,0,0,0,1.806538E-05
